Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel
1,36.81964974356997,1770,False,-173.0,-1.0,20,0.708609439320152
2,3.3251796165643555,458,False,-138.0,-1.0,20,1.2636577950451318
3,145.84680004717848,1967,False,128.0,-1.0,20,0.9681120309340681
4,-22.818496089061828,326,False,124.0,-1.0,20,1.042052925160109
5,-4.915696031862829,460,False,-135.0,-1.0,20,1.1119791003014183
6,-7.804346661950859,402,False,-129.0,-1.0,20,1.414627566662537
7,-23.725450181186183,194,False,-147.0,-1.0,20,1.2789984319122774
8,-19.3894417257465,247,False,-180.0,-1.0,20,1.835410197554835
9,9.656165368160309,860,False,-177.0,-1.0,20,1.050293582744856
10,10.463737243551925,610,False,-142.0,-1.0,20,1.4345013901739683
11,-8.855333185909032,369,False,126.0,-1.0,20,1.4015545287973972
12,21.675069781826615,904,False,127.0,-1.0,20,1.804095229730238
13,14.849307804321946,575,False,128.0,-1.0,20,1.8590150289763898
14,-21.169719724467818,217,False,-141.0,-1.0,20,1.3732818618511609
15,-11.516092444484418,298,False,135.0,-1.0,20,1.856916637226979
16,-24.348195316366493,213,False,143.0,-1.0,20,1.2812939847430362
17,-0.2680116296914221,420,False,117.0,-1.0,20,1.9755681400563758
18,-15.867320312670305,252,False,132.0,-1.0,20,2.1326168735643494
19,-17.505394638939286,283,False,142.0,-1.0,20,1.4088059563474407
20,-21.39326910589066,248,False,-186.0,-1.0,20,1.6446574176980873
21,-17.477741506393485,311,False,126.0,-1.0,20,1.758279760682602
22,-21.174884612744766,216,False,142.0,-1.0,20,2.3884476992356616
23,-17.691007573910422,243,False,-141.0,-1.0,20,1.524803878951467
24,-6.12871407061175,278,False,-158.0,-1.0,20,2.093489155563586
25,50.47803422339109,982,False,136.0,-1.0,20,2.1776255465415164
26,13.418060404479917,895,False,-174.0,-1.0,20,1.4212016530630998
27,-9.074788208339896,434,False,126.0,-1.0,20,1.7476380187116805
28,2.2032776750283887,700,False,162.0,-1.0,20,2.1045279521396254
29,-27.1174165185853,125,False,-142.0,-1.0,20,3.3278356744199993
