Steps,Reward,Accumulated reward,Throttle,Steer,deviation,velocity,Brake,Distance,Distance back-right
1,1,1,0.030337482690811157,-0.09613413363695145,3.0,0.0,-1.0,8.010066897756012,nan
2,1,2,0.030164804309606552,-0.09593717008829117,3.0,0.004019365180283785,-1.0,8.012380052702877,nan
3,1,3,0.03015146404504776,-0.09592298418283463,3.0,0.0014743995852768421,-1.0,8.02165817502596,nan
4,1,4,0.030173135921359062,-0.09594590216875076,3.0,0.0005187177448533475,-1.0,8.041844884963536,nan
5,1,5,0.03017124906182289,-0.09593741595745087,3.0,0.0008576536201871932,-1.0,8.064564194406293,nan
6,1,6,0.030177326872944832,-0.09594381600618362,3.0,0.00027523041353560984,-1.0,8.066658086904646,nan
7,1,7,0.030163465067744255,-0.09592922776937485,3.0,0.00022129536955617368,-1.0,8.093303362858405,nan
8,1,8,0.03018803521990776,-0.09595510363578796,3.0,0.0015445136232301593,-1.0,8.141172096516398,nan
9,1,9,0.03019603341817856,-0.0959634855389595,3.0,0.0017521094996482134,-1.0,8.181835278818562,nan
10,1,10,0.030206017196178436,-0.09597399085760117,3.0,0.0001809979003155604,-1.0,8.197003141199662,nan
11,1,11,0.03021184355020523,-0.09598015993833542,3.0,0.001657724380493164,-1.0,8.234617709986834,nan
12,1,12,0.03022114373743534,-0.095989890396595,3.0,0.0011904715793207288,-1.0,8.28559039649268,nan
13,1,13,0.030231062322854996,-0.09600032866001129,3.0,0.000715122208930552,-1.0,8.32312266066067,nan
14,1,14,0.03022191859781742,-0.09598878026008606,3.0,0.0007256698445416987,-1.0,8.358477721030486,nan
15,1,15,0.030252376571297646,-0.09602273255586624,3.0,0.0004066753317601979,-1.0,8.416920455965435,nan
16,1,16,0.03045295737683773,-0.09623238444328308,3.0,0.0005903196288272738,-1.0,8.451522059400547,nan
17,1,17,0.030257266014814377,-0.09602786600589752,3.0,0.0014089393662288785,-1.0,8.532782976275469,nan
18,1,18,0.030284225940704346,-0.09605415910482407,3.0,0.0007912254077382386,-1.0,8.610555274291617,nan
19,1,19,0.03031826764345169,-0.09609179943799973,3.0,0.00017668723012320697,-1.0,8.696490201819625,nan
20,1,20,0.03033432550728321,-0.09610861539840698,3.0,0.0014809322310611606,-1.0,8.76428689045769,nan
21,1,21,0.030592691153287888,-0.09637533873319626,3.0,0.0012620878405869007,-1.0,8.804134778826322,nan
22,1,22,0.030609697103500366,-0.09639488905668259,3.0,0.0004899167688563466,-1.0,8.91443852253201,nan
23,1,23,0.0306368637830019,-0.09642297029495239,3.0,0.0007695436361245811,-1.0,9.061397674253923,nan
24,1,24,0.030687369406223297,-0.0964750275015831,3.0,0.0008453511982224882,-1.0,9.173497423619411,nan
25,1,25,0.030719783157110214,-0.09650836884975433,3.0,0.00020564078295137733,-1.0,9.320243384482797,nan
26,1,26,0.030758094042539597,-0.09654774516820908,3.0,0.0002778720809146762,-1.0,9.448925471902612,nan
27,1,27,0.030526436865329742,-0.09630872309207916,3.0,0.00021565439237747341,-1.0,9.448925471902612,nan
