Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-17.22306294894163,42,False,1.0,0.9999934375,3.9597161603132487
2,-21.806329982939953,36,False,-1.0,0.99998765625,3.988255240862735
3,-20.343182926363227,38,False,0.0,0.9999815625,3.994283523847667
4,-21.169404788655932,37,False,2.0,0.999975625,3.997196036240007
5,-20.37444255649174,38,False,2.0,0.9999695312500001,3.9869609242748947
6,-20.280008554523032,38,False,0.0,0.9999634375,3.9962556786036276
7,-20.29651091077963,38,False,0.0,0.99995734375,3.9668651293957664
8,-23.451642368712772,34,False,1.0,0.9999518749999999,3.969309509647503
9,-22.61975331005617,35,False,-1.0,0.99994625,3.9834182895060293
10,-22.676807221031428,35,False,2.0,0.999940625,3.9773679229886376
