Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-5.212653582880662,57,False,-2.0,0.9999910937500001,3.466349895323327
2,-19.26891588314445,50,False,24.0,0.999983125,3.483304292330933
3,-21.34751923869628,46,False,25.0,0.99997578125,3.467988252859765
4,-13.975058361616462,46,False,7.0,0.9999684375,3.469843187246971
5,-25.461836383419108,52,False,-33.0,0.99996015625,3.4538309435968957
6,-29.740830706347477,48,False,147.0,0.9999525,4.027146069791697
7,-18.99206087010609,138,False,153.0,0.99993078125,4.685347209992805
8,44.84455773967193,240,False,155.0,0.999893125,4.388771848520648
9,-29.29206193333841,95,False,171.0,0.9998781250000001,4.684949322210359
10,36.75916554315124,167,False,181.0,0.999851875,4.384643522827183
11,-30.103864445358276,78,False,-87.0,0.99983953125,3.3743129903056617
12,-47.94975294876099,3,False,-16.0,0.9998389062499999,3.3466159039693677
