Episode,Reward,Num_steps,Finish,Deviation,Exploration_rate,Distance
1,-14.932604886343938,45,False,1.0,0.99999296875,3.980877479194035
2,-7.725400031015653,53,False,-2.0,0.9999845312500001,3.9881052970897906
3,-6.751688578019845,54,False,-2.0,0.9999759374999999,3.99958024238367
4,-20.39374122164367,38,False,1.0,0.99996984375,3.968603867660311
5,-21.09646657047032,37,False,-1.0,0.99996390625,3.9655912599778333
6,16.547929418367985,85,False,-1.0,0.99995046875,3.9856043903890246
7,19.834141438101653,91,False,6.0,0.9999360937499999,3.9739646911621094
8,-5.916169792538213,55,False,2.0,0.99992734375,3.967310139179862
9,27.882575607422268,101,False,-6.0,0.99991140625,3.9988670349121094
10,-7.788508645731568,53,False,-2.0,0.9999029687500001,3.9815037250519265
11,-16.42097468510208,43,False,2.0,0.9998960937500001,3.9900034679220697
12,-6.208972659930048,55,False,2.0,0.99988734375,3.969228506089008
13,-7.5045206206204185,53,False,-2.0,0.99987890625,3.985673666000553
14,-21.925793147087397,36,False,1.0,0.999873125,3.984400723442473
15,22.47969582332759,93,False,-1.0,0.9998584375,3.9620115757469936
